peer0.org2.example.com|2024-09-21 17:47:58.942 UTC 00cf INFO [comm.grpc.server] 1 -> streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2024-09-21T17:48:06.941Z grpc.peer_address=172.18.0.8:40118 grpc.peer_subject="CN=peer0,OU=peer,O=Hyperledger,ST=North Carolina,C=US" error="timed out waiting for connection message from 172.18.0.8:40118" grpc.code=Unknown grpc.call_duration=2.000215955s
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.383 UTC 00f7 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=e60415ad
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.383 UTC 00f8 INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56766 grpc.code=OK grpc.call_duration=1.067855ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc300000): 159.116µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.420 UTC 00f9 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=3ca901b9
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.420 UTC 00fa INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56788 grpc.code=OK grpc.call_duration=1.078554ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc1): 150.971µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.456 UTC 00fb INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=8c2052e5
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.457 UTC 00fc INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56818 grpc.code=OK grpc.call_duration=1.086816ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc60000): 160.241µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.494 UTC 00fd INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=18ba2008
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.494 UTC 00fe INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56832 grpc.code=OK grpc.call_duration=1.097394ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc150000): 131.921µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.531 UTC 00ff INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=a55833c9
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.531 UTC 0100 INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56852 grpc.code=OK grpc.call_duration=1.033441ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc210000): 158.79µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.568 UTC 0101 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=9bae185d
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.568 UTC 0102 INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56868 grpc.code=OK grpc.call_duration=1.07749ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc300000): 140.945µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.605 UTC 0103 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=89853eda
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.605 UTC 0104 INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56890 grpc.code=OK grpc.call_duration=1.096454ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|NOT FOUND!! Time taken for query for id (pc360000): 132.168µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.641 UTC 0105 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=77675307
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.642 UTC 0106 INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56904 grpc.code=OK grpc.call_duration=985.676µs
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|NOT FOUND!! Time taken for query for id (pc450000): 157.148µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.678 UTC 0107 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=5eba1751
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.678 UTC 0108 INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56920 grpc.code=OK grpc.call_duration=1.039298ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|NOT FOUND!! Time taken for query for id (pc540000): 137.562µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.714 UTC 0109 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=f99ed418
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.715 UTC 010a INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56942 grpc.code=OK grpc.call_duration=1.00371ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|NOT FOUND!! Time taken for query for id (pc600000): 153.456µs
